timestamp,meter_id,building_zone,kwh_consumed,peak_demand_kw,temperature_f,occupancy_count
2026-09-01 00:00,MTR-101,Zone-A,11.79,14.86,50.2,0
2026-09-01 00:00,MTR-102,Zone-B,22.92,31.44,50.2,0
2026-09-01 00:00,MTR-103,Zone-C,9.02,11.94,50.2,0
2026-09-01 01:00,MTR-101,Zone-A,12.81,14.93,46.9,0
2026-09-01 01:00,MTR-102,Zone-B,18.58,24.88,46.9,0
2026-09-01 01:00,MTR-103,Zone-C,8.93,9.78,46.9,0
2026-09-01 02:00,MTR-101,Zone-A,9.88,13.24,45.6,0
2026-09-01 02:00,MTR-102,Zone-B,26.34,34.14,45.6,0
2026-09-01 02:00,MTR-103,Zone-C,8.09,9.02,45.6,0
2026-09-01 03:00,MTR-101,Zone-A,11.56,14.21,46.7,0
2026-09-01 03:00,MTR-102,Zone-B,21.7,30.39,46.7,0
2026-09-01 03:00,MTR-103,Zone-C,7.49,9.65,46.7,0
2026-09-01 04:00,MTR-101,Zone-A,9.06,10.85,49.7,0
2026-09-01 04:00,MTR-102,Zone-B,22.83,31.86,49.7,2
2026-09-01 04:00,MTR-103,Zone-C,8.82,9.81,49.7,0
2026-09-01 05:00,MTR-101,Zone-A,11.55,13.78,52.1,0
2026-09-01 05:00,MTR-102,Zone-B,20.48,27.92,52.1,1
2026-09-01 05:00,MTR-103,Zone-C,6.18,8.69,52.1,0
2026-09-01 06:00,MTR-101,Zone-A,12.92,16.63,55.0,0
2026-09-01 06:00,MTR-102,Zone-B,23.84,31.03,55.0,0
2026-09-01 06:00,MTR-103,Zone-C,8.63,9.42,55.0,0
2026-09-01 07:00,MTR-101,Zone-A,13.46,15.34,60.8,0
2026-09-01 07:00,MTR-102,Zone-B,24.27,32.98,60.8,0
2026-09-01 07:00,MTR-103,Zone-C,6.15,7.83,60.8,1
2026-09-01 08:00,MTR-101,Zone-A,73.13,82.21,65.5,29
2026-09-01 08:00,MTR-102,Zone-B,167.05,213.38,65.5,40
2026-09-01 08:00,MTR-103,Zone-C,29.23,32.0,65.5,8
2026-09-01 09:00,MTR-101,Zone-A,73.3,80.66,68.9,29
2026-09-01 09:00,MTR-102,Zone-B,166.1,213.91,68.9,36
2026-09-01 09:00,MTR-103,Zone-C,31.27,33.12,68.9,7
2026-09-01 10:00,MTR-101,Zone-A,69.34,78.19,72.9,21
2026-09-01 10:00,MTR-102,Zone-B,191.38,244.63,72.9,48
2026-09-01 10:00,MTR-103,Zone-C,32.49,35.35,72.9,6
2026-09-01 11:00,MTR-101,Zone-A,77.75,87.75,78.1,28
2026-09-01 11:00,MTR-102,Zone-B,223.89,286.16,78.1,57
2026-09-01 11:00,MTR-103,Zone-C,37.3,38.5,78.1,10
2026-09-01 12:00,MTR-101,Zone-A,74.48,84.22,80.3,19
2026-09-01 12:00,MTR-102,Zone-B,175.62,225.84,80.3,35
2026-09-01 12:00,MTR-103,Zone-C,39.97,42.05,80.3,9
2026-09-01 13:00,MTR-101,Zone-A,90.44,99.63,81.1,31
2026-09-01 13:00,MTR-102,Zone-B,194.5,249.66,81.1,43
2026-09-01 13:00,MTR-103,Zone-C,38.26,39.1,81.1,9
2026-09-01 14:00,MTR-101,Zone-A,76.47,85.96,81.8,21
2026-09-01 14:00,MTR-102,Zone-B,194.23,249.94,81.8,41
2026-09-01 14:00,MTR-103,Zone-C,42.78,44.13,81.8,15
2026-09-01 15:00,MTR-101,Zone-A,91.51,102.28,84.3,32
2026-09-01 15:00,MTR-102,Zone-B,204.83,261.21,84.3,43
2026-09-01 15:00,MTR-103,Zone-C,35.01,37.24,84.3,6
2026-09-01 16:00,MTR-101,Zone-A,86.34,95.5,78.8,28
2026-09-01 16:00,MTR-102,Zone-B,201.97,258.97,78.8,45
2026-09-01 16:00,MTR-103,Zone-C,36.39,37.55,78.8,5
2026-09-01 17:00,MTR-101,Zone-A,82.48,91.73,79.0,27
2026-09-01 17:00,MTR-102,Zone-B,192.88,246.69,79.0,41
2026-09-01 17:00,MTR-103,Zone-C,34.43,37.25,79.0,9
2026-09-01 18:00,MTR-101,Zone-A,72.87,82.12,74.7,22
2026-09-01 18:00,MTR-102,Zone-B,174.18,223.92,74.7,36
2026-09-01 18:00,MTR-103,Zone-C,36.79,38.83,74.7,11
2026-09-01 19:00,MTR-101,Zone-A,12.08,15.42,71.2,0
2026-09-01 19:00,MTR-102,Zone-B,20.43,28.53,71.2,0
2026-09-01 19:00,MTR-103,Zone-C,6.09,8.76,71.2,1
2026-09-01 20:00,MTR-101,Zone-A,13.31,17.02,65.0,0
2026-09-01 20:00,MTR-102,Zone-B,23.93,33.18,65.0,0
2026-09-01 20:00,MTR-103,Zone-C,8.48,9.92,65.0,0
2026-09-01 21:00,MTR-101,Zone-A,10.72,13.36,60.6,0
2026-09-01 21:00,MTR-102,Zone-B,23.53,30.52,60.6,0
2026-09-01 21:00,MTR-103,Zone-C,5.08,7.64,60.6,0
2026-09-01 22:00,MTR-101,Zone-A,11.5,14.97,54.7,0
2026-09-01 22:00,MTR-102,Zone-B,21.4,27.87,54.7,0
