timesteps,mean_reward,std_reward,mean_episode_length,std_episode_length,success_rate,reward_threshold,threshold_streak,n_eval_episodes,environment,environment_id,seed
10000,0.0,0.0,256.0,0.0,0.0,0.9,0,20,empty-8x8,MiniGrid-Empty-8x8-v0,0
20000,0.9613280000000004,3.3306690738754696e-16,11.0,0.0,1.0,0.9,1,20,empty-8x8,MiniGrid-Empty-8x8-v0,0
30000,0.9613280000000004,3.3306690738754696e-16,11.0,0.0,1.0,0.9,2,20,empty-8x8,MiniGrid-Empty-8x8-v0,0
40000,0.9613280000000004,3.3306690738754696e-16,11.0,0.0,1.0,0.9,3,20,empty-8x8,MiniGrid-Empty-8x8-v0,0
10000,0.0,0.0,256.0,0.0,0.0,0.9,0,20,empty-8x8,MiniGrid-Empty-8x8-v0,1
20000,0.0,0.0,256.0,0.0,0.0,0.9,0,20,empty-8x8,MiniGrid-Empty-8x8-v0,1
30000,0.957812,0.0,12.0,0.0,1.0,0.9,1,20,empty-8x8,MiniGrid-Empty-8x8-v0,1
40000,0.0,0.0,256.0,0.0,0.0,0.9,0,20,empty-8x8,MiniGrid-Empty-8x8-v0,1
50000,0.0,0.0,256.0,0.0,0.0,0.9,0,20,empty-8x8,MiniGrid-Empty-8x8-v0,1
60000,0.957812,0.0,12.0,0.0,1.0,0.9,1,20,empty-8x8,MiniGrid-Empty-8x8-v0,1
70000,0.957812,0.0,12.0,0.0,1.0,0.9,2,20,empty-8x8,MiniGrid-Empty-8x8-v0,1
80000,0.957812,0.0,12.0,0.0,1.0,0.9,3,20,empty-8x8,MiniGrid-Empty-8x8-v0,1
10000,0.0,0.0,256.0,0.0,0.0,0.9,0,20,empty-8x8,MiniGrid-Empty-8x8-v0,2
20000,0.0,0.0,256.0,0.0,0.0,0.9,0,20,empty-8x8,MiniGrid-Empty-8x8-v0,2
30000,0.0,0.0,256.0,0.0,0.0,0.9,0,20,empty-8x8,MiniGrid-Empty-8x8-v0,2
40000,0.0,0.0,256.0,0.0,0.0,0.9,0,20,empty-8x8,MiniGrid-Empty-8x8-v0,2
50000,0.9613280000000004,3.3306690738754696e-16,11.0,0.0,1.0,0.9,1,20,empty-8x8,MiniGrid-Empty-8x8-v0,2
60000,0.9613280000000004,3.3306690738754696e-16,11.0,0.0,1.0,0.9,2,20,empty-8x8,MiniGrid-Empty-8x8-v0,2
70000,0.9613280000000004,3.3306690738754696e-16,11.0,0.0,1.0,0.9,3,20,empty-8x8,MiniGrid-Empty-8x8-v0,2
10000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,0
20000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,0
30000,-0.15,0.3570714214271425,241.2,47.21080384827186,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,0
40000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,0
50000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,0
60000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,0
70000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,0
80000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,0
90000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,0
100000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,0
110000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,0
120000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,0
130000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,0
