timesteps,elapsed_seconds,episode_reward_mean,episode_length_mean,policy_entropy,entropy_loss,policy_gradient_loss,value_loss,approx_kl,clip_fraction,explained_variance,learning_rate,environment,environment_id,seed
1024,3.373,0.2340624,200.8,1.9459097385406492,,,,,,,,empty-8x8,MiniGrid-Empty-8x8-v0,0
2048,7.797,0.1300346666666666,225.33333333333331,1.9423370361328125,-1.945592999458313,-0.0023631117423065,0.0052729557617567,0.0019944715,0.0,0.0006818175315856,0.00025,empty-8x8,MiniGrid-Empty-8x8-v0,0
3072,14.437,0.090024,234.7692307692308,1.91973078250885,-1.9238105088472368,-0.0106500095571391,0.0001326759733274,0.01368614,0.10888671875,-4.080629348754883,0.00025,empty-8x8,MiniGrid-Empty-8x8-v0,0
4096,18.911,0.1512152777777777,220.88888888888889,1.8964663743972776,-1.9054475486278533,-0.0047383970813825,4.016007087557227e-05,0.010878544,0.04951171875,-1.7084288597106934,0.00025,empty-8x8,MiniGrid-Empty-8x8-v0,0
5120,23.033,0.1733526086956521,215.34782608695653,1.877488374710083,-1.8857906877994537,-0.0041134592553135,0.006421472353395,0.0059374734,0.0255859375,0.0281558036804199,0.00025,empty-8x8,MiniGrid-Empty-8x8-v0,0
6144,28.899,0.1738978928571428,215.67857142857144,1.8684920072555544,-1.8666914612054823,-0.0041961526032537,0.00589941458893,0.008468715,0.02705078125,0.0214006304740905,0.00025,empty-8x8,MiniGrid-Empty-8x8-v0,0
7168,33.964,0.2005285,209.0,1.8829138278961184,-1.8939926773309708,-0.005205684993416,0.002735302169458,0.008838831,0.04638671875,0.055802047252655,0.00025,empty-8x8,MiniGrid-Empty-8x8-v0,0
8192,39.014,0.219381,204.53846153846155,1.8819762468338013,-1.8691298604011533,-0.0027982137049548,0.0085131416795775,0.003239861,0.01796875,0.0930563807487487,0.00025,empty-8x8,MiniGrid-Empty-8x8-v0,0
9216,45.156,0.2263628222222222,203.62222222222223,1.8602501153945925,-1.8564101934432984,-0.0074038803228177,0.0066250978677999,0.0048756553,0.06982421875,0.1755173802375793,0.00025,empty-8x8,MiniGrid-Empty-8x8-v0,0
10240,60.235,0.3103906363636364,182.7090909090909,1.800894021987915,-1.8180541962385175,-0.00626920692157,0.0064262856729328,0.0040183384,0.09873046875,0.1472476720809936,0.00025,empty-8x8,MiniGrid-Empty-8x8-v0,0
11264,64.659,0.346698015625,173.828125,1.7149977684020996,-1.7393883645534516,-0.0115436393010895,0.0200791727984324,0.012692225,0.10107421875,0.236612856388092,0.00025,empty-8x8,MiniGrid-Empty-8x8-v0,0
12288,68.179,0.4361545555555555,150.90123456790124,1.6883565187454224,-1.7299007058143616,-0.008875951974187,0.0171821353258565,0.008006442,0.08662109375,0.0938358306884765,0.00025,empty-8x8,MiniGrid-Empty-8x8-v0,0
13312,73.135,0.50531646,133.03,1.5886095762252808,-1.6531606137752533,-0.0136051681940443,0.0259974055923521,0.011393594,0.11123046875,0.3561410307884216,0.00025,empty-8x8,MiniGrid-Empty-8x8-v0,0
14336,76.524,0.7138945800000001,79.39,1.522343397140503,-1.568764340877533,-0.0094331443542614,0.0225749335717409,0.008045677,0.042578125,0.3913373947143554,0.00025,empty-8x8,MiniGrid-Empty-8x8-v0,0
